Node,Gene,Gene_family,Duplications,Transfers,Losses,Originations,Copies,,,
315873,90,3245_MSA.fa.ufboot.ale.uml_rec,0.02,0.13,0,0,0.79,,,
315901,90,3292_MSA.fa.ufboot.ale.uml_rec,0.02,0,0,0,1.03,,,
316613,90,3922_MSA.fa.ufboot.ale.uml_rec,0.02,0.04,0,0.34,0.51,,,
317554,90,4865_MSA.fa.ufboot.ale.uml_rec,0.01,0,0.9,0,0.87,,,
315840,90,326_MSA.fa.ufboot.ale.uml_rec,0.01,0,0.2,0,1.05,,,
313735,90,1104_MSA.fa.ufboot.ale.uml_rec,0.01,0.06,0.19,0.01,0.54,,,
317545,90,4855_MSA.fa.ufboot.ale.uml_rec,0.01,0.02,0.15,0.03,0.65,,,
317935,90,5217_MSA.fa.ufboot.ale.uml_rec,0.01,0.02,0.13,0.01,0.96,,,
314879,90,2282_MSA.fa.ufboot.ale.uml_rec,0.01,0.74,0.12,0.03,1.59,,,
313888,90,1275_MSA.fa.ufboot.ale.uml_rec,0.01,0.06,0.11,0.02,0.7,,,
315548,90,2945_MSA.fa.ufboot.ale.uml_rec,0.01,0.09,0.11,0.01,1.7,,,
315234,90,2632_MSA.fa.ufboot.ale.uml_rec,0.01,0.01,0.08,0,0.9,,,
319182,90,6405_MSA.fa.ufboot.ale.uml_rec,0.01,0.03,0.08,0.11,0.53,,,
314365,90,1783_MSA.fa.ufboot.ale.uml_rec,0.01,0.63,0.07,0,0.89,,,
316265,90,3631_MSA.fa.ufboot.ale.uml_rec,0.01,0.13,0.07,0,0.56,,,
316650,90,3982_MSA.fa.ufboot.ale.uml_rec,0.01,0.04,0.07,0,0.71,,,
317194,90,4565_MSA.fa.ufboot.ale.uml_rec,0.01,0,0.07,0,1.02,,,
314892,90,2294_MSA.fa.ufboot.ale.uml_rec,0.01,0.28,0.06,0.07,0.9,,,
315154,90,2553_MSA.fa.ufboot.ale.uml_rec,0.01,0.19,0.06,0,0.99,,,
316371,90,3745_MSA.fa.ufboot.ale.uml_rec,0.01,0.08,0.06,0.01,0.9,,,
313921,90,1310_MSA.fa.ufboot.ale.uml_rec,0.01,0.08,0.05,0.01,0.76,,,
314426,90,1843_MSA.fa.ufboot.ale.uml_rec,0.01,0.38,0.05,0.01,0.85,,,
314477,90,1898_MSA.fa.ufboot.ale.uml_rec,0.01,0.01,0.05,0.62,1.02,,,
314573,90,1996_MSA.fa.ufboot.ale.uml_rec,0.01,0.71,0.05,0,0.99,,,
314582,90,2004_MSA.fa.ufboot.ale.uml_rec,0.01,0.15,0.05,0,0.89,,,
316720,90,4096_MSA.fa.ufboot.ale.uml_rec,0.01,0.1,0.05,0.01,1,,,
317800,90,5106_MSA.fa.ufboot.ale.uml_rec,0.01,0.1,0.05,0.02,0.51,,,
314383,90,1800_MSA.fa.ufboot.ale.uml_rec,0.01,0.01,0.04,0.02,0.65,,,
315120,90,2522_MSA.fa.ufboot.ale.uml_rec,0.01,0.19,0.04,0,0.91,,,
316294,90,3624_MSA.fa.ufboot.ale.uml_rec,0.01,0.01,0.04,0.03,0.98,,,
316662,90,4023_MSA.fa.ufboot.ale.uml_rec,0.01,0.04,0.04,0.02,0.67,,,
317699,90,4993_MSA.fa.ufboot.ale.uml_rec,0.01,0,0.04,0.03,0.88,,,
320911,90,942_MSA.fa.ufboot.ale.uml_rec,0.01,0.65,0.04,0.03,0.84,,,
313963,90,1352_MSA.fa.ufboot.ale.uml_rec,0.01,0.19,0.03,0.01,0.73,,,
314634,90,2052_MSA.fa.ufboot.ale.uml_rec,0.01,0.6,0.03,0,0.96,,,
315497,90,2894_MSA.fa.ufboot.ale.uml_rec,0.01,0.07,0.03,0.01,1.03,,,
313854,90,1234_MSA.fa.ufboot.ale.uml_rec,0.01,0.03,0.02,0.01,0.99,,,
314138,90,1553_MSA.fa.ufboot.ale.uml_rec,0.01,0.71,0.02,0,1.13,,,
314384,90,1801_MSA.fa.ufboot.ale.uml_rec,0.01,0.52,0.02,0,0.91,,,
314487,90,1907_MSA.fa.ufboot.ale.uml_rec,0.01,0.02,0.02,0,0.87,,,
314520,90,1940_MSA.fa.ufboot.ale.uml_rec,0.01,0.32,0.02,0.01,0.56,,,
314578,90,2000_MSA.fa.ufboot.ale.uml_rec,0.01,0.1,0.02,0.01,1.01,,,
314876,90,227_MSA.fa.ufboot.ale.uml_rec,0.01,0.14,0.02,0.54,0.85,,,
314963,90,2376_MSA.fa.ufboot.ale.uml_rec,0.01,0.05,0.02,0,1.41,,,
315614,90,3008_MSA.fa.ufboot.ale.uml_rec,0.01,0.25,0.02,0.06,0.91,,,
316921,90,4274_MSA.fa.ufboot.ale.uml_rec,0.01,0.16,0.02,0.01,0.9,,,
317455,90,4756_MSA.fa.ufboot.ale.uml_rec,0.01,0.36,0.02,0.09,0.9,,,
314465,90,1884_MSA.fa.ufboot.ale.uml_rec,0.01,0.2,0.01,0.05,0.59,,,
314498,90,1919_MSA.fa.ufboot.ale.uml_rec,0.01,0.15,0.01,0.06,0.97,,,
314508,90,192_MSA.fa.ufboot.ale.uml_rec,0.01,0.05,0.01,0.69,0.97,,,
314575,90,1998_MSA.fa.ufboot.ale.uml_rec,0.01,0.01,0.01,0.02,1,,,
314598,90,2019_MSA.fa.ufboot.ale.uml_rec,0.01,0.2,0.01,0,0.94,,,
314636,90,2054_MSA.fa.ufboot.ale.uml_rec,0.01,0.16,0.01,0.01,0.83,,,
314715,90,2127_MSA.fa.ufboot.ale.uml_rec,0.01,0.12,0.01,0.01,0.99,,,
314840,90,2247_MSA.fa.ufboot.ale.uml_rec,0.01,0.44,0.01,0.02,0.84,,,
314911,90,2312_MSA.fa.ufboot.ale.uml_rec,0.01,0.77,0.01,0,0.98,,,
315104,90,2506_MSA.fa.ufboot.ale.uml_rec,0.01,0.02,0.01,0.35,1,,,
315896,90,3237_MSA.fa.ufboot.ale.uml_rec,0.01,0.08,0.01,0,0.99,,,
316317,90,3632_MSA.fa.ufboot.ale.uml_rec,0.01,0,0.01,0,1.04,,,
316678,90,4053_MSA.fa.ufboot.ale.uml_rec,0.01,0.02,0.01,0.08,0.53,,,
313818,90,1195_MSA.fa.ufboot.ale.uml_rec,0.01,0.03,0,0,1.01,,,
313822,90,1199_MSA.fa.ufboot.ale.uml_rec,0.01,0.28,0,0.14,0.88,,,
313929,90,1318_MSA.fa.ufboot.ale.uml_rec,0.01,0.04,0,0.06,0.99,,,
313952,90,1340_MSA.fa.ufboot.ale.uml_rec,0.01,0.18,0,0.33,0.89,,,
314016,90,1404_MSA.fa.ufboot.ale.uml_rec,0.01,0.16,0,0.05,0.66,,,
314294,90,1713_MSA.fa.ufboot.ale.uml_rec,0.01,0.02,0,0.58,0.82,,,
314596,90,2017_MSA.fa.ufboot.ale.uml_rec,0.01,0.26,0,0.01,0.91,,,
