Node,Gene,Gene_family,Duplications,Transfers,Losses,Originations,Copies,,Loss,97
241403,80,1760_MSA.fa.ufboot.ale.uml_rec,0,0.2,0.19,0.02,1.04,,,
241404,80,1761_MSA.fa.ufboot.ale.uml_rec,0,0.06,0.09,0,0.58,,,
241405,80,1762_MSA.fa.ufboot.ale.uml_rec,0,0.3,0.18,0.01,0.97,,,
241406,80,1763_MSA.fa.ufboot.ale.uml_rec,0,0.02,0,0,1,,,
241408,80,1767_MSA.fa.ufboot.ale.uml_rec,0,0.41,0.12,0.04,0.66,,,
241409,80,1768_MSA.fa.ufboot.ale.uml_rec,0,0.01,0,0.03,0.94,,,
241411,80,176_MSA.fa.ufboot.ale.uml_rec,0,0.06,0.04,0.02,0.81,,,
241412,80,1770_MSA.fa.ufboot.ale.uml_rec,0,0,0.01,0,1,,,
241415,80,1773_MSA.fa.ufboot.ale.uml_rec,0,0.54,0.04,0.02,1.72,,,
241416,80,1774_MSA.fa.ufboot.ale.uml_rec,0,0.02,0,0.01,0.99,,,
241417,80,1775_MSA.fa.ufboot.ale.uml_rec,0,0.01,0,0,1,,,
241419,80,1777_MSA.fa.ufboot.ale.uml_rec,0,0.02,0,0,0.99,,,
241422,80,1780_MSA.fa.ufboot.ale.uml_rec,0,0.42,0,0.17,0.86,,,
241423,80,1781_MSA.fa.ufboot.ale.uml_rec,0,0.23,0.1,0,1.38,,,
241424,80,1782_MSA.fa.ufboot.ale.uml_rec,0,0.13,0.04,0,1,,,
241425,80,1783_MSA.fa.ufboot.ale.uml_rec,0,0.07,0.6,0,1.13,,,
241427,80,1785_MSA.fa.ufboot.ale.uml_rec,0,0,0,0,1,,,
241429,80,1787_MSA.fa.ufboot.ale.uml_rec,0,0.08,0.04,0,0.98,,,
241430,80,1788_MSA.fa.ufboot.ale.uml_rec,0,0.13,0.01,0,1.12,,,
241431,80,1789_MSA.fa.ufboot.ale.uml_rec,0,0.15,0.01,0,1.09,,,
241433,80,1792_MSA.fa.ufboot.ale.uml_rec,0,0.42,0.03,0.04,1.25,,,
241444,80,1801_MSA.fa.ufboot.ale.uml_rec,0,0.31,0.23,0,0.54,,,
241445,80,1802_MSA.fa.ufboot.ale.uml_rec,0,0.12,0.05,0,1.01,,,
241447,80,1804_MSA.fa.ufboot.ale.uml_rec,0.37,0.12,0.03,0.12,1.62,,,
241448,80,1805_MSA.fa.ufboot.ale.uml_rec,0,0.01,0,0,0.98,,,
241450,80,1807_MSA.fa.ufboot.ale.uml_rec,0,0.09,0.02,0,1,,,
241452,80,1809_MSA.fa.ufboot.ale.uml_rec,0,0.02,0.05,0,0.92,,,
241453,80,180_MSA.fa.ufboot.ale.uml_rec,0.05,0.09,0.07,0,1.1,,,
241454,80,1810_MSA.fa.ufboot.ale.uml_rec,0,0.12,0,0.6,0.85,,,
241456,80,1812_MSA.fa.ufboot.ale.uml_rec,0,0.26,0.01,0.03,1,,,
241458,80,1814_MSA.fa.ufboot.ale.uml_rec,0,0,0,0,1,,,
241461,80,1818_MSA.fa.ufboot.ale.uml_rec,0,0.01,0,0,1,,,
241464,80,1820_MSA.fa.ufboot.ale.uml_rec,0,0.05,0.15,0.04,0.7,,,
241465,80,1821_MSA.fa.ufboot.ale.uml_rec,0,0.09,0.02,0,1.07,,,
241467,80,1823_MSA.fa.ufboot.ale.uml_rec,0,0.27,0.15,0.01,1.04,,,
241470,80,1827_MSA.fa.ufboot.ale.uml_rec,0,0.37,0.2,0.04,0.62,,,
241475,80,1831_MSA.fa.ufboot.ale.uml_rec,0,0,0,0,1,,,
241481,80,1839_MSA.fa.ufboot.ale.uml_rec,0,0.09,0.01,0.04,0.86,,,
241484,80,1841_MSA.fa.ufboot.ale.uml_rec,0,0.82,0.08,0,1,,,
241485,80,1842_MSA.fa.ufboot.ale.uml_rec,0,0.04,0.03,0,0.95,,,
241486,80,1843_MSA.fa.ufboot.ale.uml_rec,0,0.42,0.11,0.09,0.61,,,
241487,80,1844_MSA.fa.ufboot.ale.uml_rec,0,0.34,0.21,0.02,1.19,,,
241488,80,1845_MSA.fa.ufboot.ale.uml_rec,0.09,0.83,0.02,0.03,1.17,,,
241490,80,1850_MSA.fa.ufboot.ale.uml_rec,0,0.38,0.07,0,0.93,,,
241491,80,1851_MSA.fa.ufboot.ale.uml_rec,0,0.26,0.01,0,1.06,,,
241497,80,1858_MSA.fa.ufboot.ale.uml_rec,0,0.03,0,0,1,,,
241501,80,1862_MSA.fa.ufboot.ale.uml_rec,0,0.03,0.04,0,1,,,
241503,80,1864_MSA.fa.ufboot.ale.uml_rec,0,0.07,0.01,0,1.01,,,
241504,80,1865_MSA.fa.ufboot.ale.uml_rec,0,0.08,0.01,0,1.86,,,
241505,80,1866_MSA.fa.ufboot.ale.uml_rec,0,0.03,0,0,1.01,,,
241506,80,1867_MSA.fa.ufboot.ale.uml_rec,0,0,0.01,0,1,,,
241508,80,1869_MSA.fa.ufboot.ale.uml_rec,0,0.05,0.02,0.01,1.03,,,
241512,80,1872_MSA.fa.ufboot.ale.uml_rec,0.01,0.77,0.03,0,0.95,,,
241513,80,1873_MSA.fa.ufboot.ale.uml_rec,0,0,0,0,1,,,
241515,80,1875_MSA.fa.ufboot.ale.uml_rec,0,0.03,0.02,0.02,0.55,,,
